brand,model,category,size,storage,color,price,source,webpage,condition,date,article_number,reviews_count,rating,camera_MP,delivery_time
APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Black,719.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203371.html,new,2024-04-15,2203371,(24),4.8,48 MP,Auslieferung in 1-2 Werktagen
XIAOMI,Redmi A2 ,Smartphone,6.52,32 GB,Schwarz,84.95,mediamarkt,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-a2-2178004.html,new,2024-04-15,2178004,(10),4.1,8 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 15 Pro ,Smartphone,6.1,256 GB,Black Titanium,1029.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-2203408.html,new,2024-04-15,2203408,(15),4.9,48 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 15 Pro Max ,Smartphone,6.7,256 GB,Black Titanium,1129.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203426.html,new,2024-04-15,2203426,(13),4.9,48 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Yellow,719.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203373.html,new,2024-04-15,2203373,(0),,48 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 15 ,Smartphone,6.1,128 GB,Blue,719.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-2203374.html,new,2024-04-15,2203374,(8),5.0,48 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
APPLE,iPhone 14 ,Smartphone,6.1,128 GB,Midnight,619.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151025.html,new,2024-04-15,2151025,(12),4.8,12 MP,Auslieferung in 1-2 Werktagen
APPLE,iPhone 13 ,Smartphone,6.1,128 GB,Starlight,525.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091429.html,new,2024-04-15,2091429,(34),4.7,12 MP,Auslieferung in bis zu 6 Werktagen
APPLE,iPhone 15 Pro Max ,Smartphone,6.7,256 GB,Natural Titanium,1129.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-15-pro-max-2203429.html,new,2024-04-15,2203429,(33),4.5,48 MP,"Bestellbar, Auslieferung in 1-2 Werktagen"
APPLE,iPhone 11 (2020) ,Smartphone,6.1,64 GB,Black,399.,mediamarkt,https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028715.html,new,2024-04-15,2028715,(67),4.7,12 MP,Auslieferung in 1-2 Werktagen
